# Portfolio data file - edit this to manage your stock holdings
# Format: buy_date | symbol | exchange | quantity | buy_price
# 
# Fields:
#   buy_date - Purchase date (YYYY-MM-DD)
#   symbol   - Stock ticker symbol (e.g., BSR, DCM, VNM)
#   exchange - Stock exchange (e.g., HOSE, HNX)
#   quantity - Number of shares (must be > 0)
#   buy_price - Purchase price per share (must be > 0)
#
# Notes:
#   - Empty lines are ignored
#   - Lines starting with # are comments and ignored
#   - All fields must be present and separated by pipes (|)
#   - No trailing spaces after the last field
#
# Example entries:
#2026-05-21 - VPS
2026-05-21|BSR|HOSE|8|30900
2026-05-21|DCM|HOSE|5|41900
#2026-05-19 - VPS
2026-05-19|BSR|HOSE|30|33200
2026-05-19|PVP|HOSE|51|19650
#2026-05-19 - VPS
2026-05-15|BSR|HOSE|32|30600
#2026-05-12 - VPS
2026-05-12|PVT|HOSE|44|22750
#2026-05-05 - VPS
2026-05-05|DCM|HOSE|13|42300
2026-05-05|DPM|HOSE|17|26300
#2026-04-23 - VPS
2026-04-23|PVT|HOSE|42|23100
